symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,enter_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,long,2025-05-13 11:25:00+00:00,2025-05-13 11:40:00+00:00,1.32031,1.32103,1.0,0.0007199999999998319,TP2_double_HH_15,GPL_H1,TP2_double_HH_15,1.32103,2025-05-13 11:40:00+00:00,TP1_HH_15,1.3208099999999998,2025-05-13 11:40:00+00:00,0.00035999999999991594,0.0007199999999998319,54.53264763576977,102128.80053603086
AUDNZD,long,2025-05-13 09:35:00+00:00,2025-05-13 13:20:00+00:00,1.08788,1.08808,1.0,0.00019999999999997797,bearish_lqs,FVG,bearish_lqs,,,,,,,0.00019999999999997797,18.384380630214544,102147.18491666108
XAUUSD,long,2025-05-13 14:55:00+00:00,2025-05-13 15:00:00+00:00,3249.14,3245.892225742845,1.0,-3.247774257155015,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-3.247774257155015,-99.95796602039356,102047.22695064067
XAUUSD,long,2025-05-13 15:00:00+00:00,2025-05-13 15:15:00+00:00,3244.01,3240.5656381897843,1.0,-3.4443618102159235,SL_sl_atr_BREAKER_OB,BREAKER_OB,SL_sl_atr_BREAKER_OB,,,,,,,-3.4443618102159235,-106.17605402621828,101941.05089661446
XAUUSD,long,2025-05-13 15:05:00+00:00,2025-05-13 15:20:00+00:00,3243.74,3238.6873783190854,1.0,-5.052621680914399,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-5.052621680914399,-155.76531044147805,101785.28558617298
AUDUSD,long,2025-05-13 11:30:00+00:00,2025-05-13 15:30:00+00:00,0.64036,0.64181,1.0,0.0014499999999999513,TP2_RR_5,OB,TP2_RR_5,0.64181,2025-05-13 15:30:00+00:00,TP1_HH_15,0.6423057077513721,2025-05-13 15:30:00+00:00,0.0007249999999999757,0.0014499999999999513,226.43513023923282,102011.72071641221
EURUSD,long,2025-05-13 13:05:00+00:00,2025-05-13 15:30:00+00:00,1.10994,1.11123,1.0,0.0012900000000000134,TP2_RR_5,OB,TP2_RR_5,1.11123,2025-05-13 15:30:00+00:00,TP1_HH_15,1.1126718662482993,2025-05-13 15:30:00+00:00,0.0006450000000000067,0.0012900000000000134,116.22249851343436,102127.94321492565
EURUSD,long,2025-05-13 13:50:00+00:00,2025-05-13 15:30:00+00:00,1.11021,1.11123,1.0,0.0010200000000000209,TP2_RR_5,BREAKER,TP2_RR_5,1.11123,2025-05-13 15:30:00+00:00,TP1_HH_15,1.1127552157411251,2025-05-13 15:30:00+00:00,0.0005100000000000104,0.0010200000000000209,91.87451022779663,102219.81772515345
EURUSD,long,2025-05-13 13:10:00+00:00,2025-05-13 15:30:00+00:00,1.11008,1.11123,1.0,0.0011499999999999844,TP2_RR_5,BREAKER_OB,TP2_RR_5,1.11123,2025-05-13 15:30:00+00:00,TP1_HH_15,1.1127417329448495,2025-05-13 15:30:00+00:00,0.0005749999999999922,0.0011499999999999844,103.59613721533444,102323.41386236878
AUDNZD,long,2025-05-13 15:05:00+00:00,2025-05-13 15:55:00+00:00,1.08734,1.08734,1.0,0.00012500000000004174,TP1_TP1_ATR,FVG_FVG_H1,TP1_TP1_ATR,1.08759,2025-05-13 15:30:00+00:00,TP1_TP1_ATR,,,0.00012500000000004174,0.00012500000000004174,11.495944230879187,102334.90980659965
GBPUSD,long,2025-05-13 12:05:00+00:00,2025-05-13 16:00:00+00:00,1.32095,1.3241800000000001,1.0,0.0021050000000000235,TP2_RR_5,GPL_H1,TP2_RR_5,1.32193,2025-05-13 15:20:00+00:00,TP1_TP1_ATR,1.3241519585496573,2025-05-13 16:00:00+00:00,0.0004899999999999904,0.0021050000000000235,159.35500965214607,102494.2648162518
AUDNZD,long,2025-05-13 15:20:00+00:00,2025-05-13 17:45:00+00:00,1.08703,1.0884,1.0,0.0009650000000001047,TP2_RR_5,BREAKER_FVG_FVG_H1_OB,TP2_RR_5,1.08759,2025-05-13 15:30:00+00:00,TP1_TP1_ATR,1.0883119663442395,2025-05-13 17:45:00+00:00,0.000280000000000058,0.0009650000000001047,88.7739988776855,102583.03881512949
AUDNZD,long,2025-05-13 15:10:00+00:00,2025-05-13 17:45:00+00:00,1.08719,1.0884,1.0,0.0012099999999999334,TP2_RR_5,FVG_OB,TP2_RR_5,1.0884,2025-05-13 17:45:00+00:00,TP1_HH_15,1.0883892035708342,2025-05-13 17:45:00+00:00,0.0006049999999999667,0.0012099999999999334,111.29609359908878,102694.33490872858
